Cacatua galerita Eumyias thalassinus
Accipiter cirrocephalus Dicrurus aeneus
Ardea plumifera Malacocincla abbotti
Coracina papuensis Dicaeum cruentatum
Rhipidura leucophrys Hemipus picatus
Corvus orru Picoides canicapillus
Ceyx azureus Dicaeum chrysorrheum
Falco berigora Lonchura striata
Haliastur sphenurus Buceros bicornis
Radjah radjah Corydon sumatranus
Anhinga novaehollandiae Stachyris rufifrons
Rhipidura rufiventris Ducula badia
Vanellus miles Phaenicophaeus tristis
Gerygone magnirostris Anthreptes singalensis
Myiagra alecto Prinia flaviventris
Cracticus quoyi Micropternus brachyurus
Colluricincla harmonica Eurylaimus javanicus
Gerygone chloronota Orthotomus atrogularis
Colluricincla megarhyncha Strix leptogrammica
Nettapus pulchellus Chloropsis cochinchinensis
Centropus phasianinus Ketupa ketupu
Dacelo leachii Anthracoceros albirostris
Myiagra rubecula Sitta frontalis
Geopelia humeralis Ninox scutulata
Daphoenositta chrysoptera Cuculus micropterus
Amaurornis moluccana Tephrodornis gularis
Antigone rubicunda Copsychus malabaricus
Ceyx pusillus Erpornis zantholeuca
Geopelia placida Meiglyptes grammithorax
Ardeotis australis Enicurus leschenaulti
Synoicus ypsilophorus Dicrurus paradiseus
Aplonis cantoroides Prionochilus maculatus
Ninox rufa Rhinortha chlorophaea
Pachycephala simplex Otus spilocephalus
Podargus papuensis Nyctyornis amictus
Mino dumontii Rhipidura albicollis
Aprosmictus erythropterus Abroscopus superciliaris
Lalage leucomela Hypogramma hypogrammicum
Pomatostomus temporalis Hemicircus sordidus
Lichmera indistincta Alcedo peninsulae
Oriolus sagittatus Psilopogon mystacophanos
Ptilinopus superbus Cacomantis sonneratii
Ninox connivens Irena puella
Aegotheles cristatus Aegithina tiphia
Philemon citreogularis Rhyticeros undulatus
Merops ornatus Platysmurus leucopterus
Lalage tricolor Ixos malaccensis
Gerygone palpebrosa Blythipicus rubiginosus
Xanthotis flaviventer Stachyris erythroptera
Megaloprepia magnifica Rollulus rouloul
